ID	source_count	listitem_count	boldtitle_count	interviewquote_count	numberedrow_count	paragraph_count	uniq_MIES	uniq_NAINEN	uniq_NETTISIVU	uniq_JULKAISU	uniq_YLIOPISTO	uniq_SAIRAALA	uniq_YRITYS	uniq_VIRASTO	uniq_JARJESTO	uniq_TUOTE	uniq_TUTKIMUS
ID153	22	0	0	0	0	14	2	0	0	0	1	1	2	3	0	0	0
ID154	20	0	0	0	0	17	0	1	0	0	0	1	1	1	2	1	0
ID155	0	0	0	0	0	7	0	1	1	1	0	0	0	1	1	0	0
ID156	0	0	0	0	0	8	1	1	0	0	0	0	1	0	0	0	0
ID157	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0
ID158	2	0	10	0	0	15	0	0	0	0	0	0	0	0	0	0	0
ID159	6	0	7	0	0	19	1	0	0	0	0	0	0	0	0	0	0
ID160	5	0	6	0	0	10	0	0	1	0	0	0	0	0	0	0	0
ID161	4	0	3	0	2	12	1	0	0	0	0	0	0	0	0	0	0
ID162	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
ID163	3	0	4	0	0	15	0	0	0	0	0	0	0	0	0	0	0
ID164	0	0	7	0	1	17	0	0	0	0	0	0	0	0	0	0	0
ID165	0	0	5	0	0	23	0	0	0	0	0	0	0	1	0	0	1
ID166	0	5	2	4	0	32	1	2	0	0	1	0	0	0	1	0	0
ID167	0	0	9	0	9	12	0	0	0	0	0	0	1	0	0	0	0
ID168	0	3	5	0	2	21	0	0	0	0	0	0	0	1	1	1	0
ID169	3	0	10	0	10	46	2	0	0	3	1	0	0	0	0	1	0
ID170	0	0	0	0	0	20	2	0	0	0	0	0	1	0	0	0	0
ID171	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
ID172	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0
ID173	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ID174	0	0	3	0	0	11	0	0	0	0	0	0	0	0	0	1	0
ID176	0	0	3	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ID177	13	0	2	0	0	16	0	0	0	0	0	0	0	0	0	0	0
ID178	0	0	5	0	0	16	0	0	0	0	0	0	0	0	0	1	0
ID179	0	0	6	0	0	17	0	0	1	0	0	0	0	0	0	0	0
ID180	0	0	0	0	0	10	1	3	0	0	1	0	0	0	0	0	0
ID181	0	0	3	0	0	25	0	0	0	0	0	0	0	0	0	0	0
ID182	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ID183	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
ID184	0	0	2	0	0	18	0	0	0	0	0	0	1	0	0	1	0
ID185	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	2	0
ID186	8	13	8	0	3	45	0	0	0	0	0	0	0	0	0	0	0
ID187	1	0	1	0	0	13	0	1	0	1	1	1	0	2	0	0	1
ID188	0	0	3	0	0	16	0	0	0	0	0	0	0	0	0	0	0
ID189	8	0	4	0	0	23	0	0	1	0	0	0	0	1	0	2	1
ID190	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
ID191	0	0	6	0	0	14	0	0	0	0	0	0	0	0	0	0	0
ID192	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0
ID194	0	0	5	5	5	19	0	1	1	0	0	0	0	0	0	0	0
ID195	0	0	10	6	10	52	1	0	0	0	0	0	0	1	0	0	1
ID196	0	0	0	0	0	20	1	1	0	0	1	0	1	0	0	0	0
ID197	0	0	10	11	10	26	0	1	0	0	0	0	0	0	0	0	0
ID198	4	0	5	0	0	32	0	1	0	0	2	0	0	5	1	0	0
ID199	0	0	0	4	0	11	2	0	0	0	1	0	0	0	0	0	0
ID200	3	26	2	0	1	43	1	1	0	1	2	0	0	1	0	0	2
ID201	0	0	0	9	0	34	4	1	0	0	1	0	0	1	1	0	0
ID202	1	0	2	1	0	15	0	1	0	1	1	0	0	0	0	0	0
ID203	1	0	0	4	0	12	1	0	0	1	2	0	0	0	0	0	0
ID204	0	0	3	6	3	36	2	0	2	0	0	1	0	0	0	0	0
ID205	0	0	3	8	0	30	4	1	2	1	1	0	0	0	0	0	0
ID206	0	0	0	6	0	18	0	2	0	0	0	0	0	0	0	0	0
ID207	0	0	2	7	0	17	1	0	0	0	0	0	0	0	0	0	0
ID208	0	0	4	5	0	21	0	1	0	0	0	0	1	1	0	0	0
ID209	1	5	2	2	4	34	1	0	0	0	1	0	0	0	0	0	0
ID210	0	0	3	0	0	18	1	3	0	0	1	0	0	0	1	0	0
ID211	0	0	3	0	0	23	1	0	0	0	0	0	0	2	1	0	0
ID212	0	0	0	18	0	41	0	1	0	0	0	0	0	0	0	0	0
ID213	0	4	3	6	0	18	0	1	0	0	0	0	0	1	0	0	0
ID214	0	0	2	0	0	19	1	0	0	0	0	0	0	0	0	0	0
ID215	0	15	6	10	0	56	2	0	0	0	1	0	0	0	0	0	0
ID216	0	0	8	2	0	30	0	1	0	0	0	0	0	0	0	0	0
ID217	0	0	5	6	5	12	0	1	0	0	0	0	0	1	0	0	0
ID218	0	0	4	3	0	19	0	1	0	0	0	0	0	0	0	0	0
ID219	0	0	3	4	0	8	0	1	0	0	0	0	0	0	0	0	0
ID220	0	0	3	3	0	16	1	1	1	0	1	1	0	0	0	0	0
ID221	0	0	4	7	0	25	0	1	0	0	0	0	0	0	0	0	0
ID222	0	0	9	2	9	31	0	1	0	0	0	0	0	0	0	0	0
ID223	0	0	6	7	0	35	1	0	0	0	0	0	0	0	0	0	0
ID224	0	0	0	4	0	9	0	2	0	0	0	0	0	0	1	0	0
ID225	0	0	0	0	0	9	4	4	0	0	0	0	1	2	3	0	0
ID226	5	0	7	1	7	32	0	1	3	0	5	0	0	0	0	0	0
ID228	0	0	6	11	6	36	0	1	0	0	1	0	0	0	0	0	0
ID229	0	0	3	8	0	30	0	2	1	0	1	0	0	1	0	0	0
ID230	0	0	1	6	0	14	0	1	0	0	0	0	0	0	1	0	0
ID231	0	0	4	7	0	28	4	1	0	0	0	0	1	0	2	0	0
ID233	0	6	5	0	5	24	0	0	1	0	0	0	0	0	0	0	0
ID234	0	0	3	3	0	14	1	1	0	0	1	0	1	1	0	2	1
ID235	0	0	8	0	8	17	0	0	1	0	0	0	0	0	0	0	0
ID236	0	0	6	13	6	35	1	1	1	0	1	0	1	0	0	0	0
ID238	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2
ID239	0	0	10	0	1	31	2	9	1	0	0	0	0	0	1	0	0
ID240	3	0	1	7	1	29	1	1	0	0	3	0	0	1	0	0	0
ID241	0	0	0	7	0	22	2	0	0	0	1	0	1	1	0	0	0
ID242	0	0	5	5	0	27	1	0	0	0	0	0	0	0	1	0	0
ID243	0	0	0	0	0	29	1	2	0	0	1	0	0	2	1	0	1
ID244	0	5	3	4	1	20	0	1	0	0	0	0	1	0	0	0	0
ID245	0	0	3	10	0	25	2	1	1	0	1	0	0	1	1	0	0
ID246	0	0	2	4	0	12	1	0	0	0	1	0	0	0	0	0	0
ID247	0	0	5	7	3	33	0	1	0	0	1	0	0	0	0	0	0
ID248	0	0	2	0	1	18	1	0	0	0	1	0	0	1	0	0	0
ID249	0	0	4	0	0	25	0	1	0	1	1	0	0	0	0	0	1
ID250	0	0	7	0	5	29	0	0	0	0	0	0	0	0	0	0	0
ID251	0	0	9	0	5	29	2	0	1	0	0	0	0	1	0	0	1
ID252	0	15	10	10	9	61	0	1	0	0	0	2	0	0	0	1	0
ID253	0	0	3	13	0	38	3	1	0	0	1	0	0	2	0	0	0
ID254	0	9	2	9	0	41	1	1	1	0	0	0	0	2	0	0	0
ID255	0	0	4	1	0	26	1	1	0	0	1	0	0	0	1	0	0
ID257	1	0	0	1	0	12	2	0	1	1	1	0	0	0	0	0	0
ID258	0	0	5	5	0	38	2	0	0	0	0	2	0	0	0	0	0
ID259	0	0	0	8	0	23	1	0	0	1	0	0	0	0	0	0	0
ID260	1	0	0	2	0	13	0	1	1	1	1	0	0	1	0	0	0
ID261	0	0	7	1	0	33	1	0	0	0	0	0	0	1	0	0	0
ID262	0	0	0	1	0	9	0	1	1	0	0	0	0	1	0	0	0
ID263	0	0	0	0	0	13	2	0	1	0	1	0	0	3	0	0	0
ID264	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0
ID265	0	0	0	0	0	24	1	1	0	0	1	0	0	0	0	0	0
ID266	0	0	3	3	0	19	2	0	1	0	2	0	0	1	0	1	0
ID267	0	0	0	0	0	19	0	3	0	0	1	0	0	2	0	0	0
ID269	0	5	1	5	0	22	0	1	0	0	0	0	0	0	1	0	0
